age,backhand,birthplace,f_name,finals_career,ht,l_hand,l_name,loss_career,prize_career,rank_2020,rank_career,titles_career,win_career,wt,yr_pro
17,,,Daniel,0,,,Siniakov,0,1211.0,0,1782,0,0,,
19,,,Digvijaypratap,0,,,Singh,0,1095.0,1820,1818,0,0,,
22,,,Muzingaye,0,,,Sibanda,0,1708.0,1820,1692,0,0,,
24,Two-Handed Backhand,Montenegro,Igor,0,(193cm),Right-Handed,Saveljic,0,4523.0,1770,1338,0,0,(82kg),
23,,,Patric,0,,,Prinoth,0,3785.0,1595,1563,0,0,,
20,,,Denis,0,,,Parshutin,0,1652.0,1820,1789,0,0,,
21,,,Nicolas,0,,,Parizzia,0,3614.0,1275,1153,0,0,,
25,Two-Handed Backhand,,Hao Yuan,0,,Right-Handed,Ng,0,5159.0,1134,1038,0,0,,
31,Unknown Backhand,Korea,Ju-Hae,0,(170cm),Left-Handed,Moon,0,15732.0,1008,870,0,0,(54kg),
18,,,Wulfrano,0,,,Martinez Mora Esdras,0,834.0,1820,1757,0,0,,
17,,,Tomas,0,,,Luis,0,1192.0,1858,1818,0,0,,
20,Two-Handed Backhand,,Dominik,0,,Right-Handed,Langmajer,0,4552.0,1291,1291,0,0,,
25,Unknown Backhand,France,Jonathan,0,(180cm),Left-Handed,Kanar,0,46731.0,972,306,0,0,(72kg),
30,,,Dmytro,0,,,Kamynin,0,14773.0,1039,709,0,0,,
19,,,JanMagnus,0,,,Johnson,0,1988.0,1465,1465,0,0,,
23,,,Shinnosuke,0,,,Hiramatsu,0,3610.0,1820,1699,0,0,,
18,,,Roni Mikael,0,,,Hietaranta,0,2578.0,1820,1493,0,0,,
25,Two-Handed Backhand,,Alexios,0,,Left-Handed,Halebian,0,65635.0,1531,515,0,0,,
19,,,Edoardo,0,,,Graziani,0,1754.0,1820,1692,0,0,,
22,,,Gui,0,,,Gomes,0,1774.0,1820,1704,0,0,,
20,,,Mohamad,0,,,Gomaa,0,1032.0,1820,1692,0,0,,
23,Unknown Backhand,,Charles,0,(178cm),Right-Handed,Force,0,5626.0,1622,1595,0,0,(78kg),
22,Two-Handed Backhand,,Ishaque,0,,Right-Handed,Eqbal,0,1284.0,1820,1580,0,0,,
21,,,Sylvester,0,,,Emmanuel,0,10375.0,1556,867,0,0,,
19,Two-Handed Backhand,,Alec,0,(193cm),Right-Handed,Deckers,0,3089.0,1531,980,0,0,(82kg),
19,,,Doru Junior,0,,,Borsan,0,1092.0,1820,1692,0,0,,
29,Two-Handed Backhand,,David,0,(180cm),Right-Handed,Barclay,0,11247.0,1673,1024,0,0,(77kg),
36,Two-Handed Backhand,Romania,Adrian,0,(178cm),Right-Handed,Barbu,0,28279.0,638,265,0,0,(75kg),
20,,,Alexandre,0,,,Aubriot,0,1470.0,1820,1609,0,0,,
20,,,Nevin,0,,,Arimilli,0,992.0,1820,1764,0,0,,
17,,,Max,0,,,Alcala Gurri,0,1232.0,1747,1737,0,0,,
20,,,Patrick,0,,,Zahraj,0,1948.0,1755,1528,0,0,,
21,Two-Handed Backhand,Japan,Kento,0,(175cm),Right-Handed,Yamada,0,4238.0,1755,1570,0,0,(70kg),
15,,,Chak Lam Coleman,0,,,Wong,1,1262.0,1755,1753,0,0,,
23,Two-Handed Backhand,China,Huixin,0,(191cm),Right-Handed,Wang,0,12647.0,1755,732,0,0,(84kg),
25,Two-Handed Backhand,India,Siddharth,0,(191cm),Left-Handed,Vishwakarma,0,8246.0,1665,1023,0,0,(74kg),
26,,,Antun,0,,,Vidak,0,15441.0,1755,1225,0,0,,
,,,Sheng,0,,,Tang,0,1272.0,1755,1751,0,0,,
23,Two-Handed Backhand,California,Keivon,0,(180cm),Right-Handed,Tabrizi,0,11264.0,1317,1091,0,0,(73kg),
23,Two-Handed Backhand,,Gokul,0,,Right-Handed,Suresh,0,2082.0,1755,1658,0,0,,
16,,,Ioannis,0,,,Stamoulos,0,886.0,1755,1599,0,0,,
19,,,Atharva,0,,,Sharma,0,786.0,1440,1431,0,0,,
32,Two-Handed Backhand,Ukraine,Ivan,0,(175cm),Right-Handed,Sergeyev,0,263569.0,1747,230,0,0,(78kg),
19,Unknown Backhand,,Daniil,0,(188cm),Right-Handed,Savelev,0,624.0,1755,1751,0,0,(86kg),
20,,,Masi,0,,,Sarpola,0,2612.0,1755,1492,0,0,,
33,,,Sherif,0,,,Sabry,12,110387.0,1723,410,0,3,,
23,,,Karl Kiur,0,,,Saar,0,6378.0,1755,1105,0,0,,
21,,,Sam,0,,,Ryan Ziegann,0,1428.0,1755,1591,0,0,,
26,,,Robert,0,,,Rumler,0,24078.0,1363,737,0,0,,
21,,,Alan Fernando,0,,,Rubio Fierros,0,5129.0,1295,1276,0,0,,
21,,,Eduardo,0,,,Roldan,0,960.0,1755,1751,0,0,,
24,,,Baker,0,,,Newman,0,2118.0,1677,1670,0,0,,
21,Two-Handed Backhand,India,Anurag,0,(180cm),Right-Handed,Nenwani,0,6814.0,1755,1248,0,0,(77kg),
19,,,Adam,0,,,Nagoudi,0,1890.0,1755,1751,0,0,,
20,,,Antonio,0,,,Muniz Hidalgo,0,2038.0,1755,1698,0,0,,
20,Two-Handed Backhand,,Siphosothando,0,,Right-Handed,Montsi,0,3850.0,1539,1448,0,0,,
38,Two-Handed Backhand,Czech Republic,Jan,0,(191cm),Right-Handed,Mertl,0,610165.0,971,131,0,0,(84kg),2002
,,,Dan,0,,,Martin,0,1090.0,1677,1670,0,0,,
22,,,Colin,0,,,Markes,0,3590.0,1755,1248,0,0,,
21,,,Athanassios,0,,,Manekas,0,1290.0,1755,1604,0,0,,
18,,,Alan,0,,,Magadan,0,2380.0,1755,1708,0,0,,
24,,,Joshua,0,,,Luck,0,4788.0,1755,1518,0,0,,
28,Two-Handed Backhand,,Tae-Woo,0,(180cm),Right-Handed,Lee,0,11052.0,1432,653,0,0,(78kg),
24,Two-Handed Backhand,,Sergis,0,,Left-Handed,Kyratzis,0,3749.0,933,928,0,0,,
22,One-Handed Backhand,Ohio,Alex,0,(198cm),Left-Handed,Kobelt,0,3378.0,1700,792,0,0,(77kg),
17,,,Dong Ju,0,,,Kim,0,1090.0,1755,1751,0,0,,
25,Two-Handed Backhand,,Lynn Max,0,,Right-Handed,Kempen,0,1314.0,1755,1751,0,0,,
20,,,Stamatis,0,,,Kapiris,0,4182.0,1755,1524,0,0,,
22,Two-Handed Backhand,,Taha,0,,Right-Handed,Kapadia,0,2770.0,1820,1579,0,0,,
18,Two-Handed Backhand,,Berk,0,(180cm),Right-Handed,Ilkel,0,1542.0,1316,1305,0,0,(78kg),
19,,,Trey,0,,,Hilderbrand,0,1498.0,1755,1751,0,0,,
17,,,Gustavo,0,,,Heide,0,882.0,1755,1479,0,0,,
22,,,Vladyslav,0,,,Gorodynskyi,0,2456.0,1595,1115,0,0,,
20,,,Lior,0,,,Goldenberg,0,2734.0,1580,1559,0,0,,
26,,,Vasile-Alexandru,0,,,Ghilea,0,21379.0,1233,537,0,0,,
25,Unknown Backhand,,Qun,0,(185cm),Right-Handed,Gao,0,3612.0,743,738,0,0,(72kg),
22,,,Bulat,0,,,Galiev,0,2100.0,1637,1588,0,0,,
30,One-Handed Backhand,Peru,Sergio,0,(180cm),Right-Handed,Galdos,16,145705.0,200,80,0,15,(89kg),2008
19,,,Gerard,0,,,Escandell Juan,0,780.0,1755,1751,0,0,,
,,,Alessandro,0,,,Dragoni,0,1796.0,1700,1700,0,0,,
18,,,Gabriel,0,,,Diallo,0,1368.0,1033,608,0,0,,
28,Two-Handed Backhand,Thailand,Roy,0,(185cm),Right-Handed,De Valk,0,17810.0,1131,543,0,0,(85kg),
25,,,Clay,0,,,Crawford,0,2766.0,1755,1600,0,0,,
19,,,Thiago,0,,,Cigarran,0,960.0,1755,1668,0,0,,
29,,,Seung-Ri,0,,,Choi,0,5430.0,1755,1080,0,0,,
22,Unknown Backhand,Kenya,Kevin,0,,Right-Handed,Cheruiyot,0,1376.0,1667,1660,0,0,,
18,,,Kevin,0,,,Chahoud,0,1376.0,1755,1609,0,0,,
20,,,Adam,0,,,Bronka,0,1206.0,1755,1692,0,0,,
20,Two-Handed Backhand,,Moerani,0,(180cm),Right-Handed,Bouzige,0,4080.0,1755,1124,0,0,(78kg),
20,,,Joan,0,,,Borras,0,870.0,1755,1751,0,0,,
22,Two-Handed Backhand,USA,William,0,(188cm),Right-Handed,Blumberg,0,31197.0,1665,438,0,0,(84kg),
22,,,Alvaro,0,,,Blanco Damea,0,2413.0,1492,1484,0,0,,
23,Two-Handed Backhand,,Samuel,0,(191cm),Left-Handed,Beren,0,5165.0,880,880,0,0,(88kg),
23,Two-Handed Backhand,,Philip,0,,Right-Handed,Bachmaier,0,4868.0,1622,1567,0,0,,
22,Two-Handed Backhand,,Abraham,0,,Right-Handed,Asaba,0,2682.0,1045,1039,0,0,,
18,,,Leighton,0,,,Allen,0,674.0,1755,1751,0,0,,
