age,backhand,birthplace,f_name,finals_career,ht,l_hand,l_name,loss_career,prize_career,rank_2020,rank_career,titles_career,win_career,wt,yr_pro
36,Two-Handed Backhand,Romania,Adrian,0,(178cm),Right-Handed,Barbu,0,28279.0,1811,752,0,0,(75kg),
20,,,Alexandre,0,,,Aubriot,0,1470.0,1811,1609,0,0,,
20,,,Nevin,0,,,Arimilli,0,992.0,1811,1764,0,0,,
17,,,Max,0,,,Alcala Gurri,0,1232.0,1811,1692,0,0,,
15,,,Chak Lam Coleman,0,,,Wong,1,1262.0,1747,1747,0,0,,
21,Two-Handed Backhand,Japan,Kento,0,(175cm),Right-Handed,Yamada,0,4238.0,1747,1570,0,0,(70kg),
23,Two-Handed Backhand,,Gokul,0,,Right-Handed,Suresh,0,2082.0,1747,1658,0,0,,
16,,,Ioannis,0,,,Stamoulos,0,886.0,1747,1599,0,0,,
19,,,Atharva,0,,,Sharma,0,786.0,1755,1692,0,0,,
32,Two-Handed Backhand,Ukraine,Ivan,0,(175cm),Right-Handed,Sergeyev,1,263569.0,1747,147,0,5,(78kg),
19,Unknown Backhand,,Daniil,0,(188cm),Right-Handed,Savelev,0,624.0,1747,1747,0,0,(86kg),
21,,,Masi,0,,,Sarpola,0,2612.0,1747,1492,0,0,,
33,,,Sherif,0,,,Sabry,14,110387.0,1747,351,0,4,,
23,,,Karl Kiur,0,,,Saar,0,6378.0,1747,1105,0,0,,
21,,,Sam,0,,,Ryan Ziegann,0,1428.0,1747,1591,0,0,,
26,,,Robert,0,,,Rumler,0,24078.0,1747,688,0,0,,
21,,,Alan Fernando,0,,,Rubio Fierros,0,5129.0,1747,1580,0,0,,
21,,,Eduardo,0,,,Roldan,0,960.0,1747,1747,0,0,,
24,,,Baker,0,,,Newman,0,2118.0,1747,1188,0,0,,
21,Two-Handed Backhand,India,Anurag,0,(180cm),Right-Handed,Nenwani,0,6814.0,1747,1248,0,0,(77kg),
19,,,Adam,0,,,Nagoudi,0,1890.0,1747,1747,0,0,,
20,,,Antonio,0,,,Muniz Hidalgo,0,2038.0,1747,1698,0,0,,
20,Two-Handed Backhand,,Siphosothando,0,,Right-Handed,Montsi,0,3850.0,1747,1192,0,0,,
38,Two-Handed Backhand,Czech Republic,Jan,0,(191cm),Right-Handed,Mertl,1,610165.0,1747,163,0,2,(84kg),2002
,,,Dan,0,,,Martin,0,1090.0,1747,1667,0,0,,
22,,,Colin,0,,,Markes,0,3590.0,1747,1248,0,0,,
21,,,Athanassios,0,,,Manekas,0,1290.0,1747,1604,0,0,,
18,,,Alan,0,,,Magadan,0,2380.0,1747,1708,0,0,,
24,,,Joshua,0,,,Luck,0,4788.0,1747,1518,0,0,,
28,Two-Handed Backhand,,Tae-Woo,0,(180cm),Right-Handed,Lee,0,11052.0,1747,746,0,0,(78kg),
24,Two-Handed Backhand,,Sergis,0,,Left-Handed,Kyratzis,8,3749.0,1747,1399,0,1,,
22,One-Handed Backhand,Ohio,Alex,0,(198cm),Left-Handed,Kobelt,0,3378.0,1747,1747,0,0,(77kg),
17,,,Dong Ju,0,,,Kim,0,1090.0,1747,1747,0,0,,
25,Two-Handed Backhand,,Lynn Max,0,,Right-Handed,Kempen,0,1314.0,1747,1747,0,0,,
20,,,Stamatis,0,,,Kapiris,0,4182.0,1747,1524,0,0,,
22,Two-Handed Backhand,,Taha,0,,Right-Handed,Kapadia,0,2770.0,1811,1579,0,0,,
18,Two-Handed Backhand,,Berk,0,(180cm),Right-Handed,Ilkel,0,1542.0,1811,1671,0,0,(78kg),
19,,,Trey,0,,,Hilderbrand,0,1498.0,1747,1747,0,0,,
17,,,Gustavo,0,,,Heide,0,882.0,1747,1479,0,0,,
22,,,Vladyslav,0,,,Gorodynskyi,0,2456.0,1747,1747,0,0,,
20,,,Lior,0,,,Goldenberg,0,2734.0,1747,1341,0,0,,
26,,,Vasile-Alexandru,0,,,Ghilea,0,21379.0,1747,618,0,0,,
25,Unknown Backhand,,Qun,0,(185cm),Right-Handed,Gao,0,3612.0,1747,1668,0,0,(72kg),
22,,,Bulat,0,,,Galiev,0,2100.0,1799,1580,0,0,,
30,One-Handed Backhand,Peru,Sergio,0,(180cm),Right-Handed,Galdos,1,146055.0,1811,590,0,5,(89kg),2008
19,,,Gerard,0,,,Escandell Juan,0,780.0,1747,1747,0,0,,
,,,Alessandro,0,,,Dragoni,0,1796.0,1747,1609,0,0,,
18,,,Gabriel,0,,,Diallo,0,1368.0,1747,1692,0,0,,
28,Two-Handed Backhand,Thailand,Roy,0,(185cm),Right-Handed,De Valk,0,17810.0,1747,1000,0,0,(85kg),
25,,,Clay,0,,,Crawford,0,2766.0,1747,1600,0,0,,
19,,,Thiago,0,,,Cigarran,0,960.0,1747,1668,0,0,,
29,,,Seung-Ri,0,,,Choi,0,5430.0,1747,1080,0,0,,
22,Unknown Backhand,Kenya,Kevin,0,,Right-Handed,Cheruiyot,0,1376.0,1747,1694,0,0,,
18,,,Kevin,0,,,Chahoud,0,1376.0,1747,1609,0,0,,
20,,,Adam,0,,,Bronka,0,1362.0,1811,1692,0,0,,
20,Two-Handed Backhand,,Moerani,0,(180cm),Right-Handed,Bouzige,0,4236.0,1811,1124,0,0,(78kg),
20,,,Joan,0,,,Borras,0,870.0,1747,1747,0,0,,
22,Two-Handed Backhand,USA,William,0,(188cm),Right-Handed,Blumberg,0,31197.0,1662,438,0,0,(84kg),
22,,,Alvaro,0,,,Blanco Damea,0,2413.0,1747,1600,0,0,,
23,Two-Handed Backhand,,Samuel,0,(191cm),Left-Handed,Beren,0,5165.0,1747,1699,0,0,(88kg),
23,Two-Handed Backhand,,Philip,0,,Right-Handed,Bachmaier,0,4868.0,1747,1519,0,0,,
22,Two-Handed Backhand,,Abraham,0,,Right-Handed,Asaba,0,2682.0,1747,1609,0,0,,
18,,,Leighton,0,,,Allen,0,674.0,1747,1747,0,0,,
21,Two-Handed Backhand,,Shaheed,0,,Right-Handed,Alam,0,2346.0,1747,1743,0,0,,
17,,,Egor,0,,,Agafonov,0,892.0,1747,1609,0,0,,
25,,,Gianluca,0,,,Acquaroli,0,4172.0,1747,1486,0,0,,
27,Two-Handed Backhand,,Mate,0,,Right-Handed,Zsiga,0,2968.0,1662,1237,0,0,,
30,Unknown Backhand,Croatia,Deni,0,(185cm),Right-Handed,Zmak,0,7833.0,1662,961,0,0,(82kg),
32,Two-Handed Backhand,Ukraine,Anton,0,(180cm),Right-Handed,Zaitcev,0,72914.0,1662,296,0,0,(71kg),
37,Two-Handed Backhand,USA,Jesse,0,(178cm),Right-Handed,Witten,9,402100.0,1455,163,0,2,(82kg),2005
37,,,Chris,0,,,Wettengel,0,35050.0,1662,548,0,0,,
19,,,Jing Long,0,,,Weng,0,576.0,1662,1582,0,0,,
27,Two-Handed Backhand,,Arthur,0,,Left-Handed,Weber,0,3270.0,1662,1260,0,0,,
21,,,Marcus,0,,,Walters,0,2604.0,0,1579,0,0,,
23,,,Daniel,0,,,Vrba,0,1448.0,1662,1662,0,0,,
20,,,Francisco,0,,,Vittar,0,2848.0,1662,1480,0,0,,
